Link Name,Site Name A,Site Name B,Latitude A,Longitude A,Latitude B,Longitude B,Device Type A,Device Type B,Elevation A,Elevation B,Mount Height A,Mount Height B,Tx Power 1,Tx Power 2,Center Frequency 1,Center Frequency 2,Antenna Gain A,Antenna Gain B,Channel Width,Rain Reliability,Link Distance,Fresnel Obstr,FSPL,RSSI,SNR,EIRP,PHY Rate,Aggr IP
REITORIA RadioA to IFCE CAUCAIA RadioB,REITORIA,IFCE CAUCAIA,-3.750761,-38.538860,-3.730820,-38.672281,B5c,B5c,22.04,31.06,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,14.99km,0%,-131.15,-32.32,50.06,64.00,867,693
IFCE CAUCAIA RadioA to REP1 RadioB,IFCE CAUCAIA,REP1,-3.730820,-38.672281,-3.726789,-38.783895,B5c,B5c,31.06,48.58,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,12.41km,0%,-129.51,-30.66,51.73,64.00,867,693
REP1 RadioA to IFCE PECÉM RadioB,REP1,IFCE PECÉM,-3.726789,-38.783895,-3.658108,-38.857131,B5c,B5c,48.58,38.49,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,11.16km,0%,-128.60,-29.73,52.65,64.00,867,693
IFCE PECÉM RadioA to REP2 RadioB,IFCE PECÉM,REP2,-3.658108,-38.857131,-3.505803,-39.019076,B5c,B5c,38.49,31.90,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,24.72km,0%,-135.50,-36.78,45.63,64.00,867,693
REP2 RadioA to IFCE PARACURU RadioB,REP2,IFCE PARACURU,-3.505803,-39.019076,-3.444944,-39.041301,B5c,B5c,31.90,29.91,40.00,40.00,24.00,N/A,5750,N/A,35,35,1x80,0.00000%,7.21km,0%,-124.80,-32.88,49.55,57.00,867,693
IFCE PARACURU RadioA to REP3 RadioB,IFCE PARACURU,REP3,-3.444944,-39.041301,-3.670772,-39.129877,B5c,B5c,29.91,66.12,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,27.00km,0%,-136.27,-37.56,44.87,64.00,867,693
REP3 RadioA to IFCE UMIRIM RadioB,REP3,IFCE UMIRIM,-3.670772,-39.129877,-3.687538,-39.343953,B5c,B5c,66.12,74.35,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,23.86km,0%,-135.19,-36.45,45.98,64.00,867,693
IFCE UMIRIM RadioA to REP4 RadioB,IFCE UMIRIM,REP4,-3.687538,-39.343953,-3.607552,-39.396929,B5c,B5c,74.35,328.40,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,10.67km,0%,-128.21,-29.32,53.10,64.00,867,693
REP4 RadioA to REP5 RadioB,REP4,REP5,-3.607552,-39.396929,-3.502382,-39.515789,B5c,B5c,328.40,516.76,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,17.65km,0%,-132.58,-33.73,48.88,64.00,867,693
REP5 RadioA to REP6 RadioB,REP5,REP6,-3.502382,-39.515789,-3.465820,-39.557429,B5c,B5c,516.76,93.22,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,6.16km,0%,-123.44,-24.49,58.10,64.00,867,693
REP6 RadioA to IFCE ITAPIPOCA RadioB,REP6,IFCE ITAPIPOCA,-3.465820,-39.557429,-3.489100,-39.569507,B5c,B5c,93.22,111.63,40.00,40.00,31.00,N/A,5750,N/A,35,35,1x80,0.00000%,2.92km,0%,-116.94,-17.97,64.62,64.00,867,693
